(blue_cup)+0.00954916599288,(blue_cup)+0.0053516617702,(blue_cup)+0.113708542172
(yellow_cup)+0.0128131080466,(yellow_cup)+0.0134641411561,(yellow_cup)+0.208715432106
(purple_cup)-0.0649469030478,(purple_cup)-0.0647651396904,(purple_cup)+0.11015662618
(yellow_cup)-0.0151574358891,(yellow_cup)-0.0798768586585,(yellow_cup)+0.216482150681
(green_cup)+0.00225109759991,(green_cup)+0.0557084541635,(green_cup)+0.101941338823
(yellow_cup)-0.00111494573078,(yellow_cup)+0.0311465199472,(yellow_cup)+0.209708638598
(orange_cup)-0.0159561290226,(orange_cup)-0.00835421590461,(orange_cup)+0.089457869254
(yellow_cup)-0.0421770829845,(yellow_cup)+0.0193234917579,(yellow_cup)+0.190410118675
(orange_cup)+0.0713845089813,(orange_cup)-0.116075924447,(orange_cup)+0.331324071669
