(blue_cup)-0.0445180585792,(blue_cup)+0.0167287330638,(blue_cup)+0.120096459565
(yellow_cup)-0.10397930809,(yellow_cup)+0.0227531349192,(yellow_cup)+0.189041748683
(purple_cup)-0.0866092172494,(purple_cup)-0.0328172833842,(purple_cup)+0.106744304562
(purple_cup)-0.0541691787394,(purple_cup)-0.17857694205,(purple_cup)+0.193395232741
(green_cup)-0.0335385115442,(green_cup)-0.0754072291004,(green_cup)+0.111542873986
(yellow_cup)-0.0652801865705,(yellow_cup)+0.0825631606502,(yellow_cup)+0.205223042068
(orange_cup)-0.0879215931861,(orange_cup)-0.0629178361014,(orange_cup)+0.085082731825
(yellow_cup)-0.0304213245505,(yellow_cup)+0.125309072567,(yellow_cup)+0.173497152532
(green_cup)-0.0856486206072,(green_cup)-0.147749771995,(green_cup)+0.234136874162
