(blue_cup)-0.0967097756706,(blue_cup)-0.0340375023348,(blue_cup)+0.0918973827519
(yellow_cup)-0.057602147897,(yellow_cup)-0.0317633623131,(yellow_cup)+0.155923574681
(purple_cup)-0.085705187321,(purple_cup)-0.0490338360642,(purple_cup)+0.101389254403
(yellow_cup)-0.070311137277,(yellow_cup)-0.0232304330503,(yellow_cup)+0.173165973303
(green_cup)+0.0184591944566,(green_cup)-0.00125835359784,(green_cup)+0.120008238126
(yellow_cup)-0.032162226257,(yellow_cup)-0.0190865454977,(yellow_cup)+0.19991876517
(orange_cup)+0.0243851692726,(orange_cup)-0.0274158822983,(orange_cup)+0.0974227843095
(yellow_cup)-0.038406664237,(yellow_cup)-0.0280068510781,(yellow_cup)+0.181527223568
(purple_cup)-0.035550053944,(purple_cup)-0.0997409662372,(purple_cup)+0.484021147665
