(blue_cup)-0.0493201297169,(blue_cup)-0.0675956586479,(blue_cup)+0.114331491464
(yellow_cup)-0.0674905576514,(yellow_cup)-0.0408010744104,(yellow_cup)+0.180113206237
(purple_cup)-0.0882689096189,(purple_cup)+0.0245890916835,(purple_cup)+0.0948996622191
(yellow_cup)-0.0358481448404,(yellow_cup)-0.076335199406,(yellow_cup)+0.207427770521
(green_cup)-0.0505003498017,(green_cup)+0.02554321823,(green_cup)+0.102517360523
(yellow_cup)-0.0660554950534,(yellow_cup)-0.0369077734192,(yellow_cup)+0.175595902171
(orange_cup)-0.082470305489,(orange_cup)+0.00156737751087,(orange_cup)+0.106164164925
(yellow_cup)-0.0362537714484,(yellow_cup)-0.0530465519088,(yellow_cup)+0.211976254078
(yellow_cup)+0.0100491850826,(yellow_cup)+0.0857800715695,(yellow_cup)+0.426279946453
